##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461180_subsampled_forward
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1226483
Sequences flagged as poor quality	0
Sequence length	37
%GC	56
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
10	31	1.97198
10	32	2.83651
10	33	2.86444
10	34	2.95621
10	35	3.35139
10	36	3.11323
10	37	2.89344
11	1	0.266103
11	2	0.0161471
11	3	0.0295964
11	4	-0.00727175
11	5	0.0714918
11	6	0.156601
11	7	0.0589143
11	8	0.0885184
11	9	0.0977784
11	10	0.139996
11	11	0.136716
11	12	0.0402149
11	13	0.23509
11	14	0.289467
11	15	0.293432
11	16	0.0786286
11	17	0.318296
11	18	0.0295835
11	19	0.117651
11	20	0.301334
11	21	0.122456
11	22	0.406116
11	23	-0.14543
11	24	0.495894
11	25	0.930657
11	26	1.27128
11	27	1.78775
11	28	1.7524
11	29	2.24143
11	30	2.70129
11	31	2.02503
11	32	2.2811
11	33	2.73011
11	34	3.54469
11	35	2.88358
11	36	3.35761
11	37	3.05257
12	1	-0.150859
12	2	0.0605105
12	3	-0.0392419
12	4	0.136735
12	5	0.144158
12	6	0.0987696
12	7	0.0217063
12	8	0.154117
12	9	0.121451
12	10	0.0763404
12	11	0.144153
12	12	0.0429867
12	13	0.000799246
12	14	0.360912
12	15	0.134861
12	16	0.311869
12	17	0.318735
12	18	0.0484055
12	19	0.413115
12	20	0.204075
12	21	0.173515
12	22	0.380462
12	23	0.223885
12	24	0.975909
12	25	0.944529
12	26	1.47301
12	27	1.45079
12	28	1.16743
12	29	1.72176
12	30	1.71491
12	31	2.13616
12	32	3.20684
12	33	2.24099
12	34	2.6178
12	35	2.08852
12	36	3.17946
12	37	3.10704
13	1	0.224006
13	2	0.0027023
13	3	0.103048
13	4	-0.0194202
13	5	0.0859444
13	6	0.103256
13	7	-0.00716831
13	8	0.0562816
13	9	0.0763451
13	10	0.0777545
13	11	0.0770496
13	12	0.0407433
13	13	0.101285
13	14	0.0972882
13	15	0.0885341
13	16	0.199829
13	17	0.15435
13	18	0.416128
13	19	0.552734
13	20	0.395301
13	21	0.410282
13	22	0.323052
13	23	0.702264
13	24	0.825919
13	25	1.54107
13	26	1.94051
13	27	1.77861
13	28	0.936739
13	29	2.15282
13	30	2.12347
13	31	2.52131
13	32	3.33589
13	33	2.31915
13	34	3.06769
13	35	3.20822
13	36	4.0976
13	37	3.32721
14	1	0.174389
14	2	0.0547721
14	3	0.0361759
14	4	0.00277071
14	5	0.0894413
14	6	0.117576
14	7	0.0246125
14	8	0.121775
14	9	0.130654
14	10	0.0931922
14	11	0.107934
14	12	0.0476004
14	13	0.106693
14	14	0.190066
14	15	0.0466653
14	16	0.19431
14	17	0.0561403
14	18	0.270156
14	19	0.249072
14	20	0.131695
14	21	0.193153
14	22	0.258183
14	23	0.703809
14	24	-0.105364
14	25	1.57625
14	26	1.3337
14	27	2.06152
14	28	2.12939
14	29	2.25814
14	30	2.53126
14	31	2.43095
14	32	2.91067
14	33	3.57203
14	34	2.40229
14	35	3.42697
14	36	3.6668
14	37	3.44077
15	1	-0.0410878
15	2	0.0422821
15	3	0.0107563
15	4	0.147953
15	5	0.113345
15	6	0.0295006
15	7	0.0422859
15	8	0.0481939
15	9	0.0736745
15	10	0.0693827
15	11	0.0227213
15	12	0.0748682
15	13	0.0934061
15	14	0.217215
15	15	0.317893
15	16	-0.0312791
15	17	0.12126
15	18	0.266838
15	19	0.257139
15	20	0.58063
15	21	0.425523
15	22	0.68903
15	23	0.604776
15	24	1.00861
15	25	0.842766
15	26	1.59441
15	27	1.59328
15	28	2.80788
15	29	2.50067
15	30	2.46516
15	31	2.52612
15	32	1.96772
15	33	3.48995
15	34	3.44124
15	35	2.13785
15	36	3.44167
15	37	1.80204
16	1	-0.22368
16	2	0.0610236
16	3	0.0319035
16	4	0.114172
16	5	0.0342144
16	6	0.0944507
16	7	0.0779239
16	8	0.0688047
16	9	0.0991711
16	10	0.0940365
16	11	0.102296
16	12	0.0694526
16	13	0.147439
16	14	0.170394
16	15	0.258616
16	16	0.276687
16	17	0.410189
16	18	0.279653
16	19	0.338968
16	20	0.368254
16	21	0.0928853
16	22	0.139947
16	23	0.675546
16	24	0.546717
16	25	1.0554
16	26	1.27452
16	27	1.8881
16	28	2.34243
16	29	1.84639
16	30	-1.07916
16	31	-0.858272
16	32	2.10142
16	33	-5.24065
16	34	1.6848
16	35	-2.74832
16	36	1.85188
16	37	-3.79006
17	1	-0.147561
17	2	0.0269217
17	3	0.0339802
17	4	-0.0206647
17	5	0.0541653
17	6	0.0126837
17	7	0.0556905
17	8	-0.0238203
17	9	-0.0251083
17	10	0.0255731
17	11	0.0343944
17	12	0.0580513
17	13	0.137236
17	14	0.293761
17	15	0.205431
17	16	0.108594
17	17	0.193224
17	18	0.0545026
17	19	0.413543
17	20	0.409038
17	21	0.519131
17	22	-0.0684742
17	23	0.429314
17	24	0.834986
17	25	1.03838
17	26	1.3161
17	27	1.36493
17	28	2.48897
17	29	2.30758
17	30	1.95752
17	31	1.72085
17	32	1.57381
17	33	2.2246
17	34	2.75427
17	35	2.43046
17	36	2.01188
17	37	2.9574
18	1	0.0209808
18	2	0.0346154
18	3	-0.0073102
18	4	0.100206
18	5	0.073928
18	6	0.0733346
18	7	-0.0100758
18	8	0.00862752
18	9	0.0751538
18	10	0.14485
18	11	0.125193
18	12	0.1064
18	13	0.224356
18	14	0.087829
18	15	-0.0109217
18	16	0.0960749
18	17	0.172145
18	18	0.193226
18	19	0.118702
18	20	0.481345
18	21	-0.034123
18	22	0.351382
18	23	0.578102
18	24	0.738811
18	25	0.963039
18	26	1.37421
18	27	0.954863
18	28	2.19274
18	29	2.00471
18	30	1.39503
18	31	1.05656
18	32	1.8877
18	33	3.09997
18	34	0.39777
18	35	2.0504
18	36	-2.10473
18	37	-1.22845
19	1	0.0656625
19	2	-0.00793597
19	3	0.0589287
19	4	0.0588317
19	5	-0.102881
19	6	0.130242
19	7	0.00379153
19	8	0.0597838
19	9	0.0271477
19	10	0.0332515
19	11	0.0479261
19	12	0.107768
19	13	0.0737493
19	14	0.0864372
19	15	0.0911745
19	16	0.155402
19	17	0.189424
19	18	0.130618
19	19	0.432785
