##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461180_subsampled_reverse
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1226483
Sequences flagged as poor quality	0
Sequence length	37
%GC	56
>>END_MODULE
>>Per base sequence quality	warn
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
10	29	-1.31982
10	30	-4.02475
10	31	-4.18136
10	32	-3.95086
10	33	-2.09196
10	34	-3.45674
10	35	-8.32456
10	36	-8.77764
10	37	-8.85052
11	1	1.89593
11	2	1.6779
11	3	2.79956
11	4	2.13996
11	5	2.86365
11	6	3.2562
11	7	2.61787
11	8	3.92766
11	9	4.41722
11	10	5.04034
11	11	4.25251
11	12	4.30367
11	13	4.61482
11	14	5.14384
11	15	5.82818
11	16	4.84654
11	17	5.64235
11	18	5.24012
11	19	5.08111
11	20	4.55258
11	21	5.76224
11	22	5.60079
11	23	4.32359
11	24	3.67487
11	25	2.67883
11	26	-0.260549
11	27	-1.30599
11	28	-8.32706
11	29	-7.06058
11	30	-8.61247
11	31	-8.19077
11	32	-12.0142
11	33	-11.6044
11	34	-13.0771
11	35	-11.662
11	36	-11.661
11	37	-9.55609
12	1	1.78852
12	2	2.10792
12	3	2.36335
12	4	2.65422
12	5	2.70231
12	6	3.26758
12	7	2.74369
12	8	3.96484
12	9	4.16565
12	10	4.83753
12	11	4.05446
12	12	3.34302
12	13	4.23113
12	14	4.26761
12	15	4.60547
12	16	4.10271
12	17	4.19448
12	18	3.7292
12	19	4.09541
12	20	-10.625
12	21	-4.6015
12	22	-6.94821
12	23	-6.59955
12	24	-10.2854
12	25	-8.50286
12	26	-7.18644
12	27	-4.87984
12	28	-1.42189
12	29	3.23506
12	30	2.7763
12	31	3.15595
12	32	2.02696
12	33	1.43476
12	34	0.72087
12	35	1.5437
12	36	0.779186
12	37	-1.17397
13	1	1.44889
13	2	2.10481
13	3	2.65546
13	4	2.7873
13	5	2.76721
13	6	3.50406
13	7	2.70454
13	8	4.13926
13	9	-10.2043
13	10	4.7623
13	11	-9.98878
13	12	-8.10965
13	13	-3.16098
13	14	-1.71597
13	15	2.64766
13	16	3.61264
13	17	2.00398
13	18	1.40177
13	19	4.00867
13	20	3.18491
13	21	5.23121
13	22	4.14013
13	23	-5.64581
13	24	-8.24806
13	25	0.258864
13	26	-7.33703
13	27	-5.11972
13	28	-3.6331
13	29	-3.92198
13	30	-5.30831
13	31	-4.04301
13	32	-4.34722
13	33	-2.47925
13	34	-1.16751
13	35	-2.23471
13	36	-1.58564
13	37	-0.591021
14	1	2.00778
14	2	2.07561
14	3	2.57064
14	4	2.74106
14	5	2.74086
14	6	3.70604
14	7	2.78128
14	8	3.61505
14	9	4.26263
14	10	3.73264
14	11	2.95018
14	12	-6.57422
14	13	-4.89018
14	14	-7.35649
14	15	-9.13948
14	16	-7.86322
14	17	-8.86141
14	18	-6.97234
14	19	-7.08064
14	20	-6.43913
14	21	-7.06028
14	22	-6.7314
14	23	-1.08825
14	24	-4.08659
14	25	-5.67957
14	26	-6.61441
14	27	-3.21674
14	28	-8.28369
14	29	-8.27877
14	30	-11.7785
14	31	-10.7311
14	32	-13.0998
14	33	-10.6115
14	34	-9.3081
14	35	-8.17983
14	36	-7.4334
14	37	-7.04267
15	1	1.91178
15	2	2.1828
15	3	2.74583
15	4	2.36037
15	5	3.09094
15	6	3.57154
15	7	2.64364
15	8	3.26514
15	9	3.97574
15	10	1.26067
15	11	-1.57136
15	12	-5.5372
15	13	-9.44307
15	14	-10.1208
15	15	-3.2128
15	16	-8.84951
15	17	-9.89155
15	18	-6.54143
15	19	-9.45668
15	20	-8.43051
15	21	-9.39328
15	22	-10.0231
15	23	-9.38308
15	24	-8.77307
15	25	-7.99631
15	26	-7.5806
15	27	-17.3925
15	28	-12.1447
15	29	-8.15287
15	30	-16.1331
15	31	-12.7373
15	32	-5.54488
15	33	-9.85071
15	34	-3.55499
15	35	-4.40673
15	36	-9.20726
15	37	0.442434
16	1	-2.2524
16	2	1.93114
16	3	2.13774
16	4	2.02649
16	5	2.3711
16	6	2.00798
16	7	1.2052
16	8	1.68823
16	9	1.83394
16	10	2.50456
16	11	-2.58758
16	12	-16.866
16	13	-13.9764
16	14	-13.4703
16	15	-14.0748
16	16	-12.7565
16	17	-15.4008
16	18	-15.8359
16	19	-2.83255
16	20	0.189353
16	21	-2.63026
16	22	-3.25764
16	23	-4.29803
16	24	-12.4215
16	25	-2.34308
16	26	-1.85311
16	27	-3.00575
16	28	-10.8841
16	29	-8.30449
16	30	-4.90487
16	31	-8.88229
16	32	-0.198628
16	33	-1.51282
16	34	-7.75684
16	35	-7.32872
16	36	-8.79237
16	37	1.03478
17	1	1.77908
17	2	1.99668
17	3	2.53641
17	4	2.68779
17	5	2.6789
17	6	2.72854
17	7	1.95401
17	8	2.80406
17	9	3.18797
17	10	2.30363
17	11	1.68025
17	12	0.538438
17	13	0.678735
17	14	1.02698
17	15	-0.692055
17	16	0.334235
17	17	-1.8987
17	18	-1.37273
17	19	-1.60475
17	20	-1.08356
17	21	-5.11581
17	22	-3.12364
17	23	-3.99078
17	24	-4.72196
17	25	-3.36277
17	26	-4.26134
17	27	-3.73954
17	28	-4.88599
17	29	-5.47682
17	30	-6.16589
17	31	-5.83561
17	32	-4.26391
17	33	-7.19211
17	34	-6.7916
17	35	-5.09979
17	36	-4.7352
