##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461177_subsampled_forward
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1057657
Sequences flagged as poor quality	0
Sequence length	37
%GC	55
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
28	37	0.0479932
29	1	0.0176326
29	2	-0.125264
29	3	-0.106682
29	4	-0.366017
29	5	0.0217997
29	6	-0.229914
29	7	-0.119289
29	8	0.110756
29	9	-0.0602127
29	10	-0.0399665
29	11	-0.116491
29	12	-0.0358147
29	13	0.146222
29	14	0.298751
29	15	0.0153066
29	16	-0.362455
29	17	-0.161694
29	18	-0.240356
29	19	-0.22886
29	20	0.010667
29	21	-1.12328
29	22	-0.0433351
29	23	0.382482
29	24	-0.0696837
29	25	-1.03302
29	26	-1.03779
29	27	-0.0538028
29	28	0.282744
29	29	0.655555
29	30	-0.285633
29	31	0.1076
29	32	0.758034
29	33	0.609257
29	34	0.0171412
29	35	-1.16513
29	36	-1.13929
29	37	-0.5534
30	1	-0.185587
30	2	-0.0870342
30	3	-0.00104861
30	4	-0.355957
30	5	-0.0154237
30	6	-0.034743
30	7	0.0426832
30	8	-0.000913752
30	9	-0.109509
30	10	-0.081214
30	11	0.00121477
30	12	-0.0851105
30	13	0.183445
30	14	0.0603204
30	15	-0.257329
30	16	0.162696
30	17	0.151183
30	18	-0.465708
30	19	0.0206366
30	20	0.313484
30	21	-0.429118
30	22	0.249421
30	23	-0.515909
30	24	0.15265
30	25	-0.0390596
30	26	0.109087
30	27	0.220845
30	28	0.0865672
30	29	0.0851328
30	30	0.545353
30	31	-1.01916
30	32	0.166484
30	33	-0.0788716
30	34	-0.271591
30	35	-3.1259
30	36	-1.98134
30	37	-0.536297
31	1	0.37893
31	2	-0.143256
31	3	-0.0453082
31	4	-0.38711
31	5	-0.157933
31	6	0.0585963
31	7	0.00753793
31	8	-0.0124522
31	9	-0.107942
31	10	0.0446185
31	11	0.00976107
31	12	0.0817035
31	13	0.117193
31	14	0.429172
31	15	-0.333642
31	16	0.345652
31	17	0.294116
31	18	-0.637807
31	19	-0.263618
31	20	0.0973942
31	21	0.0295947
31	22	-0.0741242
31	23	0.248359
31	24	0.589352
31	25	-0.674481
31	26	-0.275477
31	27	0.292226
31	28	-0.481379
31	29	0.430919
31	30	0.815767
31	31	0.789243
31	32	0.133937
31	33	-0.399843
31	34	0.109707
31	35	-1.60538
31	36	-1.03178
31	37	1.80024
32	1	0.278668
32	2	0.111251
32	3	-0.0523428
32	4	-0.0604352
32	5	0.0735181
32	6	-0.00425396
32	7	-0.0402019
32	8	0.0951935
32	9	0.113373
32	10	0.0911672
32	11	0.0570874
32	12	0.106461
32	13	-0.0969035
32	14	0.128854
32	15	-0.00789385
32	16	0.0387001
32	17	0.506437
32	18	-0.00892009
32	19	-0.0542412
32	20	0.103448
32	21	-0.0670132
32	22	0.405152
32	23	0.272386
32	24	0.64838
32	25	-0.407392
32	26	0.260731
32	27	-0.520788
32	28	-0.899697
32	29	0.445041
32	30	0.463823
32	31	-0.0699479
32	32	0.711756
32	33	-0.643935
32	34	1.6754
32	35	1.13961
32	36	-0.853284
32	37	1.71171
33	1	-0.106764
33	2	-0.276128
33	3	0.046255
33	4	0.100981
33	5	0.0490779
33	6	0.0404535
33	7	-0.0528883
33	8	0.0507854
33	9	0.152332
33	10	-0.0987228
33	11	0.0404015
33	12	0.0778117
33	13	-0.609196
33	14	0.345383
33	15	0.114204
33	16	0.311102
33	17	0.566289
33	18	-0.00975952
33	19	0.370321
33	20	-0.391957
33	21	0.182912
33	22	0.509602
33	23	-0.0976616
33	24	-0.567643
33	25	0.458437
33	26	0.241898
33	27	0.524676
33	28	0.369166
33	29	0.717443
33	30	0.44768
33	31	0.00887677
33	32	1.02144
33	33	0.169314
33	34	1.84359
33	35	0.651681
33	36	1.37346
33	37	1.23645
34	1	0.645734
34	2	0.136548
34	3	0.0464144
34	4	0.266821
34	5	-0.0775737
34	6	0.175072
